Geographicarea,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Democratic People's Republic of Korea,Life expectancy,Total,1970,59.656,Units,Years,,,,,,,,UNPD2019,,,,,,
Democratic People's Republic of Korea,Life expectancy,Total,2000,65.268,Units,Years,,,,,,,,UNPD2019,,,,,,
Democratic People's Republic of Korea,Life expectancy,Total,2018,72.095,Units,Years,,,,,,,,UNPD2019,,,,,,
Democratic Republic of the Congo,Life expectancy,Total,1970,43.915,Units,Years,,,,,,,,UNPD2019,,,,,,
Democratic Republic of the Congo,Life expectancy,Total,2000,50.041,Units,Years,,,,,,,,UNPD2019,,,,,,
Democratic Republic of the Congo,Life expectancy,Total,2018,60.368,Units,Years,,,,,,,,UNPD2019,,,,,,
Denmark,Life expectancy,Total,1970,73.271,Units,Years,,,,,,,,UNPD2019,,,,,,
Denmark,Life expectancy,Total,2000,76.712,Units,Years,,,,,,,,UNPD2019,,,,,,
Denmark,Life expectancy,Total,2018,80.784,Units,Years,,,,,,,,UNPD2019,,,,,,
Djibouti,Life expectancy,Total,1970,49.16,Units,Years,,,,,,,,UNPD2019,,,,,,
Djibouti,Life expectancy,Total,2000,57.022,Units,Years,,,,,,,,UNPD2019,,,,,,
Djibouti,Life expectancy,Total,2018,66.582,Units,Years,,,,,,,,UNPD2019,,,,,,
Dominica,Life expectancy,Total,1970,,Units,Years,,,,,,,,UNPD2019,,,,,,
Dominica,Life expectancy,Total,2000,,Units,Years,,,,,,,,UNPD2019,,,,,,
Dominica,Life expectancy,Total,2018,,Units,Years,,,,,,,,UNPD2019,,,,,,
Dominican Republic,Life expectancy,Total,1970,58.093,Units,Years,,,,,,,,UNPD2019,,,,,,
Dominican Republic,Life expectancy,Total,2000,69.429,Units,Years,,,,,,,,UNPD2019,,,,,,
Dominican Republic,Life expectancy,Total,2018,73.892,Units,Years,,,,,,,,UNPD2019,,,,,,
Ecuador,Life expectancy,Total,1970,58.203,Units,Years,,,,,,,,UNPD2019,,,,,,
Ecuador,Life expectancy,Total,2000,72.761,Units,Years,,,,,,,,UNPD2019,,,,,,
Ecuador,Life expectancy,Total,2018,76.8,Units,Years,,,,,,,,UNPD2019,,,,,,
Egypt,Life expectancy,Total,1970,52.146,Units,Years,,,,,,,,UNPD2019,,,,,,
Egypt,Life expectancy,Total,2000,68.602,Units,Years,,,,,,,,UNPD2019,,,,,,
Egypt,Life expectancy,Total,2018,71.825,Units,Years,,,,,,,,UNPD2019,,,,,,
El Salvador,Life expectancy,Total,1970,54.998,Units,Years,,,,,,,,UNPD2019,,,,,,
El Salvador,Life expectancy,Total,2000,68.875,Units,Years,,,,,,,,UNPD2019,,,,,,
El Salvador,Life expectancy,Total,2018,73.096,Units,Years,,,,,,,,UNPD2019,,,,,,
Equatorial Guinea,Life expectancy,Total,1970,39.848,Units,Years,,,,,,,,UNPD2019,,,,,,
Equatorial Guinea,Life expectancy,Total,2000,53.279,Units,Years,,,,,,,,UNPD2019,,,,,,
Equatorial Guinea,Life expectancy,Total,2018,58.402,Units,Years,,,,,,,,UNPD2019,,,,,,
Eritrea,Life expectancy,Total,1970,43.156,Units,Years,,,,,,,,UNPD2019,,,,,,
Eritrea,Life expectancy,Total,2000,55.273,Units,Years,,,,,,,,UNPD2019,,,,,,
Eritrea,Life expectancy,Total,2018,65.941,Units,Years,,,,,,,,UNPD2019,,,,,,
Estonia,Life expectancy,Total,1970,70.423,Units,Years,,,,,,,,UNPD2019,,,,,,
Estonia,Life expectancy,Total,2000,70.409,Units,Years,,,,,,,,UNPD2019,,,,,,
Estonia,Life expectancy,Total,2018,78.567,Units,Years,,,,,,,,UNPD2019,,,,,,
Eswatini,Life expectancy,Total,1970,48.128,Units,Years,,,,,,,,UNPD2019,,,,,,
Eswatini,Life expectancy,Total,2000,47.49,Units,Years,,,,,,,,UNPD2019,,,,,,
Eswatini,Life expectancy,Total,2018,59.401,Units,Years,,,,,,,,UNPD2019,,,,,,
Ethiopia,Life expectancy,Total,1970,42.944,Units,Years,,,,,,,,UNPD2019,,,,,,
Ethiopia,Life expectancy,Total,2000,51.941,Units,Years,,,,,,,,UNPD2019,,,,,,
Ethiopia,Life expectancy,Total,2018,66.24,Units,Years,,,,,,,,UNPD2019,,,,,,
Fiji,Life expectancy,Total,1970,62.492,Units,Years,,,,,,,,UNPD2019,,,,,,
Fiji,Life expectancy,Total,2000,65.687,Units,Years,,,,,,,,UNPD2019,,,,,,
Fiji,Life expectancy,Total,2018,67.341,Units,Years,,,,,,,,UNPD2019,,,,,,
Finland,Life expectancy,Total,1970,70.241,Units,Years,,,,,,,,UNPD2019,,,,,,
Finland,Life expectancy,Total,2000,77.779,Units,Years,,,,,,,,UNPD2019,,,,,,
Finland,Life expectancy,Total,2018,81.736,Units,Years,,,,,,,,UNPD2019,,,,,,
France,Life expectancy,Total,1970,71.904,Units,Years,,,,,,,,UNPD2019,,,,,,
France,Life expectancy,Total,2000,79.008,Units,Years,,,,,,,,UNPD2019,,,,,,
France,Life expectancy,Total,2018,82.541,Units,Years,,,,,,,,UNPD2019,,,,,,
Gabon,Life expectancy,Total,1970,47.125,Units,Years,,,,,,,,UNPD2019,,,,,,
