Geographicarea,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Syrian Arab Republic,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2006,2.5,,%,Reported,Free,,,,,,MICS 2006,,,End of fieldwork,,2006,20 to 24 years old
Tajikistan,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2017,0.1,,%,Reported,Free,,,,,,DHS 2017,,,End of fieldwork,,2017,20 to 24 years old
Thailand,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2015,4.4,,%,Reported,Free,,,,,,MICS 2015,,,End of fieldwork,,2015,20 to 24 years old
Timor-Leste,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2016,2.6,,%,Reported,Free,,,,,,DHS 2016,,,End of fieldwork,,2016,20 to 24 years old
Togo,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2017,6.4,,%,Reported,Free,,,,,,MICS 2017,,,End of fieldwork,,2017,20 to 24 years old
Tonga,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2012,0.3,,%,Reported,Free,,,,,,DHS 2012,,,End of fieldwork,,2012,20 to 24 years old
Trinidad and Tobago,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2011,2.7,,%,Reported,Free,,,,Women currently in visiting relationships not excluded,,MICS 2011,,,End of fieldwork,,2011,20 to 24 years old
Tunisia,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2018,0,,%,Reported,Free,,,,,,MICS 2018,,,End of fieldwork,,2018,20 to 24 years old
Turkey,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2018,2,,%,Reported,Free,,,,,,DHS 2018,,,End of fieldwork,,2018,20 to 24 years old
Turkmenistan,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2016,0,,%,Reported,Free,,,,Question asked about girls in a unregistered marriage rather than living together,,MICS 2015-16,,,End of fieldwork,,2015-16,20 to 24 years old
Tuvalu,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2007,0,,%,Reported,Free,,,,,,DHS 2007,,,End of fieldwork,,2007,20 to 24 years old
Uganda,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2016,7.3,,%,Reported,Free,,,,,,DHS 2016,,,End of fieldwork,,2016,20 to 24 years old
Ukraine,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2012,0.1,,%,Reported,Free,,,,,,MICS 2012,,,End of fieldwork,,2012,20 to 24 years old
United Republic of Tanzania,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2016,5.2,,%,Reported,Free,,,,,,DHS 2015-16,,,End of fieldwork,,2015-16,20 to 24 years old
Uruguay,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2013,0.7,,%,Reported,Free,,,,,,MICS 2013,,,End of fieldwork,,2013,20 to 24 years old
Uzbekistan,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2006,0.3,,%,Reported,Free,,,,,,MICS 2006,,,End of fieldwork,,2006,20 to 24 years old
Vanuatu,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2013,2.5,,%,Reported,Free,,,,,,DHS 2013,,,End of fieldwork,,2013,20 to 24 years old
Viet Nam,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2014,0.9,,%,Reported,Free,,,,,,MICS 2014,,,End of fieldwork,,2014,20 to 24 years old
Yemen,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2013,9.4,,%,Reported,Free,,,,,,DHS 2013,,,End of fieldwork,,2013,20 to 24 years old
Zambia,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2018,5.2,,%,Reported,Free,,,,,,DHS 2018,,,End of fieldwork,,2018,20 to 24 years old
Zimbabwe,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2019,5.4,,%,Reported,Free,,,,,,MICS 2019,,,End of fieldwork,,2019,20 to 24 years old
